,msg,arquivo teste,rmse,ids não encontrados,ids testados,total na tabela
0,Problemas!,teste-2024-05-16_12.json,3434.8108389985305,0,160960,163210
1,Problemas!,teste-2024-05-16_20.json,4270.541292340243,0,160700,162676
2,Problemas!,teste-2024-05-17_11.json,3558.742082897939,0,167022,168655
3,Problemas!,teste-2024-05-17_19.json,4267.652466844809,0,158860,161894
4,Problemas!,teste-2024-05-18_08.json,2818.1394763116436,0,116586,126597
5,Problemas!,teste-2024-05-18_16.json,3095.3038836336445,0,115346,122920
6,Problemas!,teste-2024-05-19_07.json,2695.778011096711,0,69132,86040
7,Problemas!,teste-2024-05-19_15.json,3093.3983962511493,0,83793,89757
8,Problemas!,teste-2024-05-20_13.json,3176.677623791412,0,160195,162255
9,Problemas!,teste-2024-05-20_21.json,3653.3921959975773,0,142617,144778
